p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,disease
10019,10544,10747,11221,11277,114131,114548,1241,1280,1395,1401,142,1437,177,183,1906,1947,1958,196,2056,207,2149,2150,2247,2588,2625,2833,284,2920,30009,3146,3162,335,3383,3458,3552,3553,3557,3569,3576,3586,3596,3605,3620,3665,3934,3952,40,4057,407040,41,412,4282,4313,4318,4353,4615,4803,4843,4879,4982,5020,51083,5244,5329,540,54106,5465,5468,54982,55829,5734,5743,6097,623,624,627,6347,6348,6351,6356,6584,6647,6774,6863,7018,7037,7039,7040,7076,7097,7099,7124,7349,7356,7422,7442,7538,796,834,Inflammation
1001,100529151,100533107,100996485,100996583,10109,101927324,10320,10544,10747,11261,11315,120400,1235,132612,146198,149233,150962,159296,1611,1670,1671,1811,1893,201266,219771,2212,23046,23252,23308,2494,2768,3117,3123,3172,327,3383,345611,3553,3575,3576,3577,3579,3586,3593,3663,3683,3717,3912,400935,4046,4057,4318,4353,4485,4584,4790,51460,51738,51750,5334,54535,54546,55765,55801,55876,5739,5771,5788,5970,629,6364,639,64127,64170,646982,647215,6556,6774,7124,7412,7850,8209,836,84441,8624,8767,8807,8877,8924,8927,94103,9966,999,0,0,0,0,0,0,Ulcerative Colitis
10125,1021,10437,1050,1052,10634,10801,11040,11168,113,11326,1269,1436,1437,1440,1471,1495,1512,1522,1612,1902,1978,2026,2078,2120,2274,2308,2322,23365,26040,2624,26511,2672,2969,3005,3006,302,307,308,3082,30845,309,3205,3315,3398,343641,355,366,3717,375790,3815,3845,4026,4066,4233,4291,4297,4330,4599,4609,4629,4763,481,4869,4928,5142,51428,51510,53826,5457,54904,55740,58508,596,5997,60468,6279,6281,64324,6446,6455,6678,6688,6774,6840,6919,7015,7200,7204,7249,7280,7490,7837,79870,8021,8028,81552,81848,822,824,Leukemia Myelocytic Acute
9,100129940,100188782,100507098,100507118,100526783,10125,101927736,101928423,10198,10239,102725019,10296,1036,10363,10644,10891,10984,111,11124,11132,114876,116985,1374,145741,1535,1544,1607,162515,169026,169792,1889,1906,1909,1910,1956,201232,204010,208,221895,23411,2557,26086,26276,2641,2642,2645,2646,2784,2820,284217,286,2869,2876,2888,2944,3039,3087,3098,3159,3162,3172,3240,3263,3375,3383,3397,355,3569,3630,3643,3651,3667,3767,3784,388125,3952,3953,3990,4143,4544,467,4760,4790,4825,4843,4846,4853,488,489,4968,5066,5078,5080,50982,5126,5167,5184,5460,54622,Diabetes Mellitus  Non Insulin Dependent
1026,1103,11213,148022,1536,183,1839,1906,1946,1948,1950,1958,2113,2247,2252,2277,2353,240,2520,2705,2875,2876,2919,2920,3082,3162,3303,3312,3315,3383,3399,3552,3553,3569,3572,3576,3586,3592,3635,3678,3725,3791,4318,4353,4615,4843,4846,51738,5320,5327,5328,5465,5468,5599,5601,5728,5742,5743,596,5970,6347,6348,6401,6548,6590,6647,6648,6774,6783,7015,7057,7070,7097,7099,7124,7431,7498,836,83939,841,84335,847,8651,89780,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reperfusion Injury
10069,10215,10311,10317,10600,10694,11096,116159,116448,1437,1440,150082,150084,1826,1827,1859,2078,2114,23515,23562,2551,25825,25966,2618,26285,270,2897,29104,2992,29980,30811,3141,3150,3454,3455,3460,351,3588,3753,3763,3772,406947,4513,4599,4600,4685,5121,51227,5376,53820,539,54014,54069,54093,54097,54101,54102,54148,54943,56246,56911,571,57466,58494,63977,6450,6453,6493,64968,6526,6647,6651,7074,7113,7267,7273,7485,757,8208,861,8624,873,874,8867,9073,94104,9499,9510,9551,9875,9946,9980,9992,0,0,0,0,0,0,0,Muscle Weakness
120892,142,1639,1644,1813,216,2668,2936,4137,478,4803,5071,5173,5428,55532,5580,5617,65018,6571,6622,7054,8575,8854,100128977,100129583,100287944,100359403,100631383,101929655,102724307,10295,10457,10743,11315,114134,120892,1272,1305,1356,136853,1394,147081,154043,1565,1571,1586,1609,161145,1620,162540,1644,1728,1740,1812,1813,1906,199,2203,2244,22876,23400,254428,2580,2629,2643,2668,2670,284058,2876,2941,2944,2950,3077,3082,3122,3162,3303,3313,339105,342125,3480,3481,3482,3569,3630,3643,3761,401884,4099,4128,4129,4137,4217,4600,4803,4842,4905,5071,51693,5243,Parkinsonian Disorders
100129620,1002,100286844,100506457,100526835,10082,100874326,10135,101927414,101927712,101929328,10207,102723742,1066,10667,10743,10752,10806,10840,1136,114294,1149,115,116328,1232,1238,125,126567,1268,1282,129787,130013,132789,133522,134359,1350,1361,1363,137868,1401,142,1431,145264,146513,1489,151742,1520,1528,153,154,155,1571,158038,161145,161357,1630,1728,1780,1806,181,1826,1892,1947,196475,2033,2065,207,2099,2110,2119,2147,2166,2180,2194,221002,2262,22941,22997,23057,2309,23164,23194,23216,23274,23331,23410,23411,23788,2512,2532,253260,253559,257194,25861,25970,26002,26009,26011,26037,26053,Obesity
10006,10015,100507463,10051,10097,10112,10135,10146,10159,10184,101929664,10197,102,10228,10255,10288,1033,10342,10403,10434,10451,10457,10461,10473,10479,10484,10492,10527,10539,10550,10564,10565,1058,10610,10613,1063,10659,10737,10855,10857,10874,10878,10935,10959,10973,10981,10988,10990,11010,11052,1111,11130,11196,11221,11326,11339,114548,1147,114885,117178,1230,1234,133619,1356,140,1436,150280,1520,1536,159,1636,1654,1670,178,1794,1824,183,1832,1880,1894,19,1965,2069,2123,2124,2146,2161,2180,2191,22797,22822,22841,22868,22948,22974,23042,2305,23167,23186,23244,IGA Glomerulonephritis
1000,100124700,10131,10148,1019,10232,1026,1027,1029,1032,10330,10395,10468,10528,10550,10574,1075,11197,11200,1152,116135,1182,1201,123,125997,131566,1316,1365,1469,1496,1514,153,154,1548,1636,1642,1647,1674,174,1786,1789,1798,1806,1839,186,1890,1892,1915,1917,1956,196,2023,2064,2067,2068,213,2149,220,2203,2263,2266,2272,2286,229,23201,23246,240,245972,2520,2534,25824,26135,26137,26585,27034,27131,27145,27339,2737,28973,28998,29108,2950,29777,29894,308,30834,3162,3191,3199,324,3265,328,329,3312,3315,332,3329,335,3350,Stomach Neoplasms
100270916,102465435,10297,10636,10666,109,11007,11140,11186,11273,11315,126789,128611,1326,149233,150280,150962,1611,163486,1670,1673,170595,1789,1880,2212,2355,246778,253430,25953,26191,283463,2859,30829,317669,324,3378,337867,345611,3559,3569,3586,403150,4046,4088,414236,441108,4485,50608,50941,50942,51174,51564,5328,54901,54973,55054,55765,5579,57042,57178,5743,5771,6016,60468,6097,63892,64114,64127,64167,64170,6422,6423,643,643749,646982,64784,6556,6583,6774,6775,7124,7332,80762,80824,81619,8209,8224,84162,8453,84619,8477,8807,8876,9158,91975,923,9231,9404,9777,9966,Inflammatory Bowel Diseases
9,100188863,10025,100506885,10060,10090,10125,10140,10154,10257,10562,10628,10666,10902,10924,11067,116039,120892,121601,1268,1368,1462,149111,1528,1588,1592,1604,1645,1646,1655,1675,1734,1839,1843,1956,1994,2063,2100,2192,2200,2289,22943,23054,231,2327,23327,23405,23421,23428,2353,2516,25802,25840,25890,27063,2878,29079,2908,29116,30061,3065,3066,3115,3164,3292,3294,3371,3434,3459,3479,3484,3489,3516,3549,3554,3575,3600,3613,3620,3673,3688,3696,374,3845,387496,389558,3912,405,4057,406991,4070,4128,4129,4306,4741,4916,5069,5076,51191,5137,Endometriosis
100126314,100126317,100302123,100302129,100302142,100302258,100506658,1501,1553,1645,1646,1879,1950,2026,2034,2099,23239,2335,238,26227,30061,3084,3150,3195,324,3265,3476,3480,3569,3575,3576,3667,3725,3852,3861,3866,3880,389421,3958,4017,406885,406899,406938,406949,406961,406965,406966,406984,406988,407006,407014,407021,407033,407037,407041,407042,407056,4193,4286,4318,4582,4609,4613,4615,4790,4843,4851,5292,5447,5599,5879,595,596,5970,6362,6513,653361,6566,6615,6647,6648,6667,672,693223,693235,6935,7037,7040,71,7128,7157,7431,7468,7474,7852,79727,847,8505,8626,8644,Neoplastic Cell Transformation
