p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,disease
10152,1269,1401,142,1535,1593,177,183,19,196,2099,23411,240,241,246,2944,3240,3269,3304,337,3383,3458,348,3481,356,3569,3949,4018,4048,4312,470,4843,4846,4864,5054,5320,5327,5444,5468,5743,6347,6348,6351,64240,6647,6648,6774,7099,7124,Atherosclerosis
100130503,10111,1017,101928940,101928947,101929231,10451,10665,108,11127,117,117156,134430,142,149628,154,169026,1728,1767,1786,1906,2066,217,222256,22806,23108,23194,23274,23418,240,2549,25890,282617,284110,286046,29119,2944,2950,30009,3113,3115,3117,3119,3123,3135,3162,3176,3291,3371,Asthma
10280,1103,1128,11284,1136,1137,1138,1139,1143,1191,1244,1268,135,1392,147,1583,18,1812,1813,1814,183,210,2166,2247,2290,2353,249,2558,2572,2593,2784,2897,328,3350,3351,3456,348,348980,3553,3569,3612,3630,3737,3767,38,3952,3954,4204,43,Seizures
100128590,100130950,100289673,10082,101927587,101929423,102465508,10347,10418,10452,10658,10659,10858,10979,1139,1141,114876,1191,1200,121601,123041,137682,1378,1392,1471,1496,154215,1565,161,1636,1657,168667,1718,1808,196051,1965,2,2023,2041,2099,2147,2185,222255,22976,23026,23072,23215,23237,23385,Alzheimers Disease
10111,1019,1029,11200,201163,2176,2271,23022,2956,324,4089,4149,4221,4233,4286,4292,4361,4436,4595,4683,472,4763,5395,54949,55654,5728,580,5889,5979,6389,6390,6391,6392,641,657,672,675,6794,7157,7248,7249,7428,7516,79728,8313,83990,84142,999,0,Neoplastic Syndromes Hereditary
100506658,10806,1103,1297,23411,30813,3162,3383,3440,4318,4543,4843,5155,5311,5788,7070,7124,7274,7422,7431,8322,1356,1406,145226,23322,2668,4901,5158,54806,57560,596,6010,6103,64802,6647,84839,0,0,0,0,0,0,0,0,0,0,0,0,0,Retinal Diseases
10850,11004,1230,1394,1490,1520,1543,1545,1646,1649,1672,1728,1843,196,2167,2312,2315,23657,2495,2539,2720,2729,2833,2936,2937,2950,3084,30968,3108,3162,3315,3320,3485,3489,3606,3621,3849,3851,3858,3934,4317,4319,4835,5008,51311,5266,54578,54658,57016,Contact Dermatitis
100533107,100874011,101927260,101927774,21,10665,11127,1232,1234,129446,151887,22891,2312,2720,282617,2833,284382,3106,339400,3458,3553,3565,3567,3569,3586,3596,3627,386653,5017,5089,5465,54778,5599,56946,6279,6352,6356,6361,6367,6369,63940,6401,6556,6778,7148,84433,85480,8809,8875,Dermatitis Atopic
100188853,100188854,10376,10487,10576,10584,10935,111,11138,11315,11343,114876,118429,1277,1278,1588,2023,2122,220164,2243,2244,25796,2597,2820,2876,2934,302,338382,3418,348751,3569,3570,4041,4057,471,4860,4982,501,5019,5034,5315,5341,5443,54503,5683,5686,5741,5906,5972,Osteoporosis
10539,10616,1375,147,1489,150,152,1543,1545,156,1571,1756,183,1906,196,207,2247,23523,26,2621,2626,2932,3066,3091,3162,3270,3357,3479,3553,3606,3709,3976,406991,4502,4607,4846,4878,4879,488,4881,51548,5294,5337,5338,5443,5465,5467,5563,5578,Cardiomegaly
101927421,101927998,101928376,102723706,102723722,11075,114784,121278,1394,1565,158435,164684,166752,1826,221692,22801,2289,23037,27445,2766,2773,2917,3356,3558,431708,431709,4353,4651,526,54545,55068,55964,5649,643542,6532,6648,6671,6863,7498,84079,847,0,0,0,0,0,0,0,0,Major Depressive Disorder
10142,10308,10443,118856,2068,2263,22902,23043,239,2707,2803,2920,2921,2944,29896,3304,3398,3440,3552,3553,3554,3557,3569,3759,414062,4524,4616,4714,4929,4968,5142,5209,54345,54469,55422,5652,56547,57162,5728,5743,5806,5991,5996,6314,6351,6364,6421,6498,6648,Dermatologic disorders
10019,10544,10747,11221,11277,114131,114548,1241,1280,1395,1401,142,1437,177,183,1906,1947,1958,196,2056,207,2149,2150,2247,2588,2625,2833,284,2920,30009,3146,3162,335,3383,3458,3552,3553,3557,3569,3576,3586,3596,3605,3620,3665,3934,3952,40,4057,Inflammation
10047,1080,1543,1586,161582,1636,1831,196,2054,2099,217,23424,2488,2516,2796,2879,29102,3237,339345,346562,367,387712,3948,3972,3973,4193,4524,4548,4552,4846,4968,5139,5428,5444,54898,581,5887,596,6414,6648,6795,7157,79730,8085,83756,0,0,0,0,Male infertility
1001,100529151,100533107,100996485,100996583,10109,101927324,10320,10544,10747,11261,11315,120400,1235,132612,146198,149233,150962,159296,1611,1670,1671,1811,1893,201266,219771,2212,23046,23252,23308,2494,2768,3117,3123,3172,327,3383,345611,3553,3575,3576,3577,3579,3586,3593,3663,3683,3717,3912,Ulcerative Colitis
10346,10410,10561,10964,11277,23424,23586,24138,2537,2633,27074,27348,3429,3430,3433,3434,3437,3627,3665,4061,4599,4600,467,4938,4939,4940,51191,5359,54739,54809,54877,55008,55601,5610,6347,6355,64108,64135,64761,6614,6772,710,7130,7503,80830,8638,8743,91543,9246,Influenza
10319,10743,11141,1153,139411,151531,1718,1734,1735,1742,1745,1804,1806,1815,205428,23462,2562,26047,27086,2904,29123,2969,3077,347731,3690,3720,4204,4208,4543,4544,4923,5021,5101,54221,54674,552,5649,57496,57502,57628,57680,619554,6262,627,6323,6433,6567,6660,6662,Child Development Disorders RR307 Pervasive
10550,107,1133,1138,1139,114,1141,1143,1268,134,135,1385,1392,1401,1813,2166,2353,2770,2775,2778,2890,2891,2903,3060,3061,3269,3274,3358,3440,4318,4843,4852,4885,4887,4985,4986,4987,5187,5368,5443,551,5594,5595,5617,5972,627,6529,6532,6869,Substance Withdrawal Syndrome
100874137,10133,10242,10280,10562,10891,116984,132989,1501,151194,1610,1639,1804,201161,203228,2066,22920,23025,23435,23503,2521,25978,2670,27148,27242,283,284085,288,29110,2936,2950,29978,3178,3236,347736,3680,3909,400916,4744,4978,51163,5216,5321,54209,5444,5445,5446,56241,5630,Amyotrophic Lateral Sclerosis
100126309,10062,123264,1244,1432,1581,1582,1593,1728,1958,200931,2243,2920,3383,3479,3569,3576,406884,406891,406920,406961,406965,407000,407012,407019,407055,442905,4780,4843,494323,494326,5054,5173,5265,5443,5603,5962,5970,6354,644,6615,693121,7124,7376,7412,80270,8647,8714,9002,Cholestasis
100188790,100188851,101927066,10335,1909,192115,2099,221692,23245,23484,317773,3356,337892,338567,387576,4035,4209,4326,51253,54805,5592,57574,63976,7040,7048,7124,79054,796,79723,79783,8645,8976,9457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migraine Disorders
10062,102724766,10452,1071,116519,1401,157273,19,23411,23644,2590,2646,283450,3159,3358,338,3569,3606,3630,3929,3952,3992,4023,4846,51085,5444,56729,57761,57818,6347,6462,6934,7021,746,79068,79661,816,84811,8647,8856,8882,9370,9415,9970,0,0,0,0,0,Metabolic Syndrome X
10125,1021,10437,1050,1052,10634,10801,11040,11168,113,11326,1269,1436,1437,1440,1471,1495,1512,1522,1612,1902,1978,2026,2078,2120,2274,2308,2322,23365,26040,2624,26511,2672,2969,3005,3006,302,307,308,3082,30845,309,3205,3315,3398,343641,355,366,3717,Leukemia Myelocytic Acute
1184,1508,1514,1536,1773,1803,183,185,213,241,26762,2990,3106,3117,3123,3458,348,3557,387,3952,4010,4358,4690,4868,5058,5062,5443,5465,5743,5972,6337,6647,6696,7040,7422,7827,8440,94025,0,0,0,0,0,0,0,0,0,0,0,Proteinuria
10580,10628,1282,160851,1636,183,2066,213,23328,2621,27283,284757,3630,3791,3816,3899,406937,4192,4780,4846,5054,55748,558,5581,59272,5970,6347,6648,7040,7045,7048,7126,7416,7417,7422,84735,8639,9370,9844,0,0,0,0,0,0,0,0,0,0,Diabetic Nephropathy
10050,102724766,10452,1071,11141,1401,1471,149773,153,1557,1636,183,1906,1952,213,23621,257160,2646,2688,2876,3077,3240,338,3383,341,345,348,3949,4018,4023,4353,4524,4846,4852,4879,50805,5444,5445,56955,5743,590,6272,6347,6401,6558,6876,7139,7412,7450,Cardiovascular Diseases
9,100129940,100188782,100507098,100507118,100526783,10125,101927736,101928423,10198,10239,102725019,10296,1036,10363,10644,10891,10984,111,11124,11132,114876,116985,1374,145741,1535,1544,1607,162515,169026,169792,1889,1906,1909,1910,1956,201232,204010,208,221895,23411,2557,26086,26276,2641,2642,2645,2646,2784,Diabetes Mellitus  Non Insulin Dependent
8,10788,114801,130951,1369,147372,1687,1786,2151,219749,221711,2241,22871,23555,253827,285362,285590,30820,339559,348,401548,407053,4908,5172,55315,5592,57493,5784,598,6103,63892,64374,64478,6647,6772,7099,730091,7388,91,9197,93979,9414,9630,0,0,0,0,0,0,hearing impairment
10743,1138,1141,1268,135,1392,1394,1395,1401,1786,1813,2353,2555,2739,2782,2918,3363,3440,351,390275,4192,4204,4282,4852,4886,5020,5066,50944,5265,594857,6531,6532,7124,7349,8320,9607,9848,0,0,0,0,0,0,0,0,0,0,0,0,Anxiety Disorders
11188,1268,134,135,1392,147,1489,150,1636,1812,1813,183,1906,1907,1908,213,2246,2641,2890,2904,3269,3351,3352,3458,3552,3553,3558,3569,3630,3827,4057,4128,4129,4878,4879,5020,5173,5327,5328,5368,5443,551,5617,5972,624,6340,6550,6647,6863,Hypotension
1026,1103,11213,148022,1536,183,1839,1906,1946,1948,1950,1958,2113,2247,2252,2277,2353,240,2520,2705,2875,2876,2919,2920,3082,3162,3303,3312,3315,3383,3399,3552,3553,3569,3572,3576,3586,3592,3635,3678,3725,3791,4318,4353,4615,4843,4846,51738,5320,Reperfusion Injury
10,10631,10800,114548,1244,134,135,1559,1636,2205,2206,2207,2944,2950,3002,3106,3123,3176,3303,3305,356,3565,3586,3596,4056,4295,57105,5733,5742,6356,6369,6863,6916,7124,8797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drug Allergy
1021,10389,11186,114826,1499,1755,1786,2064,2100,23030,23081,2313,23476,23532,29,3090,324,4352,4609,4610,4613,474,5015,5156,51684,5294,5727,6046,6275,6277,6281,6447,6502,675,6774,7409,79813,7994,8019,83746,84456,8643,8660,898,92335,0,0,0,0,Medulloblastoma
10253,10588,1147,1280,1739,1950,2247,2248,2252,2253,2254,2255,2260,2261,2263,23314,23743,3664,374654,4335,4487,4548,4609,4846,5156,54796,5727,5916,6259,6493,6573,7040,7042,7043,7298,7341,8322,8573,8626,865,0,0,0,0,0,0,0,0,0,Cleft Palate
10069,10215,10311,10317,10600,10694,11096,116159,116448,1437,1440,150082,150084,1826,1827,1859,2078,2114,23515,23562,2551,25825,25966,2618,26285,270,2897,29104,2992,29980,30811,3141,3150,3454,3455,3460,351,3588,3753,3763,3772,406947,4513,4599,4600,4685,5121,51227,5376,Muscle Weakness
10887,11280,1268,1269,133,1445,1814,183,1906,22953,239,240,2668,2904,3231,3356,3479,3552,3553,3557,3569,3576,3586,3643,3673,3827,4157,4314,4359,4803,4842,4843,4908,4982,4988,5024,51083,5173,5368,551,5581,5582,5594,5595,5598,5731,5742,5743,5744,Hyperalgesia
120892,142,1639,1644,1813,216,2668,2936,4137,478,4803,5071,5173,5428,55532,5580,5617,65018,6571,6622,7054,8575,8854,100128977,100129583,100287944,100359403,100631383,101929655,102724307,10295,10457,10743,11315,114134,120892,1272,1305,1356,136853,1394,147081,154043,1565,1571,1586,1609,161145,1620,Parkinsonian Disorders
10533,1317,1489,1508,1571,1756,183,196,2170,22827,2597,2628,26762,2950,29952,3146,3458,351,355,3553,3557,3569,3605,384,3875,3958,4023,406967,4255,4524,4613,468,4780,4843,5443,5621,5950,596,613,6647,6648,6649,6678,6915,7124,7139,831,847,9131,Necrosis
10417,10803,1230,1235,150684,1543,1828,213,23,2833,29126,2919,3106,3117,3119,3123,3126,3127,3240,3458,3553,3554,3560,3565,3568,3569,3572,3596,3603,3605,3606,3689,3827,4283,4524,4638,50856,5196,5473,5608,6347,6348,6351,6354,6355,6356,6361,6363,6364,Hypersensitivity
100129620,100359401,10265,10579,1280,1297,1665,2313,2893,3908,393093,399959,4285,443,4990,5371,56479,57369,57706,5789,5799,5923,5959,64084,646960,650,654,6641,6711,6733,7434,84690,89795,9745,9839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Myopia
1051,1215,1232,1437,1440,1490,1906,1950,2006,2246,2247,2252,26585,2920,3082,3162,3479,3553,3565,3567,3569,3576,3593,3596,4092,4204,4313,4318,4780,5154,5155,5265,57105,5806,6347,6348,6351,6352,6356,6498,655,6696,7039,7040,7076,7124,729230,796,0,Pulmonary Fibrosis
100527963,11243,1270,1636,2155,2321,3162,3163,3674,3685,3690,3791,4313,4314,4318,462,4879,5327,5328,5443,581,596,598,6285,6696,7422,836,841,1559,2147,2155,2353,3589,3690,5265,5327,5328,5420,5443,5972,624,64805,79001,83706,0,0,0,0,0,Cerebral Hemorrhage
100129620,1002,100286844,100506457,100526835,10082,100874326,10135,101927414,101927712,101929328,10207,102723742,1066,10667,10743,10752,10806,10840,1136,114294,1149,115,116328,1232,1238,125,126567,1268,1282,129787,130013,132789,133522,134359,1350,1361,1363,137868,1401,142,1431,145264,146513,1489,151742,1520,1528,153,Obesity
1003,10412,10537,123264,1244,163486,200931,23274,3091,3385,3484,3575,3592,3593,3627,3855,4015,4017,4283,4790,5244,6352,643,6522,6689,6775,7132,7297,79258,915,941,9429,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biliary cirrhosis
121278,1269,1392,1440,1816,213,2182,2247,2260,23705,2495,2512,2739,2782,2908,2931,2932,3363,3440,3569,3776,4282,4524,4842,4852,4886,51738,5443,5444,5649,5743,627,6281,6403,6532,6616,6647,0,0,0,0,0,0,0,0,0,0,0,0,Depressive disorder
10461,1401,1557,1577,183,2056,2147,2152,2153,2158,2159,2212,2243,2322,2526,2621,2811,2982,3082,3162,462,5028,5054,5139,5196,5327,5328,5420,5624,5627,5733,5743,624,6403,644165,64805,7056,7124,7301,7450,914,0,0,0,0,0,0,0,0,Thrombosis
10392,10908,1137,1244,1440,154,1558,1559,1719,1806,2019,2290,2353,2670,2990,3399,3785,388585,429,43,4524,4552,467,4760,4773,4803,4842,4851,5054,5179,5243,54902,55738,5625,5743,627,6315,6334,6414,6470,6513,6531,6555,6571,6573,6647,7124,7274,7298,nervous system disorder
10006,10015,100507463,10051,10097,10112,10135,10146,10159,10184,101929664,10197,102,10228,10255,10288,1033,10342,10403,10434,10451,10457,10461,10473,10479,10484,10492,10527,10539,10550,10564,10565,1058,10610,10613,1063,10659,10737,10855,10857,10874,10878,10935,10959,10973,10981,10988,10990,11010,IGA Glomerulonephritis
1000,100124700,10131,10148,1019,10232,1026,1027,1029,1032,10330,10395,10468,10528,10550,10574,1075,11197,11200,1152,116135,1182,1201,123,125997,131566,1316,1365,1469,1496,1514,153,154,1548,1636,1642,1647,1674,174,1786,1789,1798,1806,1839,186,1890,1892,1915,1917,Stomach Neoplasms
10210,11174,11200,1576,170691,1719,1956,1965,2101,2146,23476,2348,2914,2950,3725,3756,4015,406900,406920,407050,4233,442894,4486,4609,54880,5925,5981,5996,648,7001,7157,7262,7422,8148,85417,860,8792,8856,9183,0,0,0,0,0,0,0,0,0,0,Osteosarcoma
10019,101929163,10255,10766,114904,116449,1235,148022,2175,23322,26191,27086,3002,3559,4026,4157,473,53347,56244,57178,60468,6311,64094,64135,64375,6503,6506,7038,7299,80736,840,8635,8924,941,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitiligo
100270916,102465435,10297,10636,10666,109,11007,11140,11186,11273,11315,126789,128611,1326,149233,150280,150962,1611,163486,1670,1673,170595,1789,1880,2212,2355,246778,253430,25953,26191,283463,2859,30829,317669,324,3378,337867,345611,3559,3569,3586,403150,4046,4088,414236,441108,4485,50608,50941,Inflammatory Bowel Diseases
1000,10803,1232,1236,1237,1244,1268,1392,1756,1965,2056,2185,2353,2596,2668,2826,288,2891,2911,2915,3162,3315,3557,361,3725,3726,3727,3778,3920,4208,4803,4842,4843,488,4908,4915,4916,55163,5610,5743,57468,5979,627,6334,6347,6348,6546,6547,6640,Status Epilepticus
11035,1277,1756,197,2056,2209,249,2591,29108,3553,3606,3688,3689,3717,3934,4046,4313,4318,4851,5155,5159,5443,5777,632,6347,6575,6693,6696,7076,729,80169,8074,80781,836,9213,9356,9365,9450,0,0,0,0,0,0,0,0,0,0,0,Calcinosis
9,100188863,10025,100506885,10060,10090,10125,10140,10154,10257,10562,10628,10666,10902,10924,11067,116039,120892,121601,1268,1368,1462,149111,1528,1588,1592,1604,1645,1646,1655,1675,1734,1839,1843,1956,1994,2063,2100,2192,2200,2289,22943,23054,231,2327,23327,23405,23421,23428,Endometriosis
10142,10308,10443,1401,2067,2071,2072,22902,23043,2803,2920,2921,29896,3304,3398,3552,3553,3557,366,3759,3858,414062,4489,4524,4616,4714,4860,4929,5142,5209,54345,54469,55422,57162,57412,5806,5991,5996,6314,6351,6364,6421,6498,6648,6730,6742,7109,7124,7130,Arsenic Poisoning
100126314,100126317,100302123,100302129,100302142,100302258,100506658,1501,1553,1645,1646,1879,1950,2026,2034,2099,23239,2335,238,26227,30061,3084,3150,3195,324,3265,3476,3480,3569,3575,3576,3667,3725,3852,3861,3866,3880,389421,3958,4017,406885,406899,406938,406949,406961,406965,406966,406984,406988,Neoplastic Cell Transformation
